author,linkedin_url
Ryan Law,https://www.linkedin.com/in/ryanlaw/
Koray Tuğberk Gübür,https://tr.linkedin.com/in/koray-tugberk-gubur/
Mike King,https://www.linkedin.com/in/michaelkingphilly/
Matt Diggity,https://www.linkedin.com/in/mattdiggity/
Cyrus Shepard,https://www.linkedin.com/in/cyrusshepard/
Lily Ray,https://www.linkedin.com/in/lilyraynyc/
Kevin Indig,https://www.linkedin.com/in/kevin-indig/
Eli Schwartz,https://www.linkedin.com/in/schwartze/
Aleyda Solis,https://www.linkedin.com/in/aleydasolis/
Glen Allsopp,https://www.linkedin.com/in/viperchillseo/
